tournament,tier,round,start_date,host_country,player_a,player_a_nat,player_b,player_b_nat,player_a_won,same_nationality,h2h_win_rate_a_vs_b,player_a_is_home,player_a_matches_last_14_days,player_a_days_since_last_match,player_a_recent_win_rate,player_b_is_home,player_b_matches_last_14_days,player_b_days_since_last_match,player_b_recent_win_rate,player_a_elo,player_b_elo,elo_diff,player_a_ema_form,player_b_ema_form,h2h_last_winner,player_a_win_streak,player_b_win_streak,player_a_matches_last_7_days,player_b_matches_last_7_days
Orléans Masters 2021,100,Quarter-finals,2021-03-23,France,Mads Christophersen,Denmark,Magnus Johannesen,Denmark,1,1,0.5,0,0,100,0.5,0,0,100,0.5,1510.0,1500.0,10.0,0.65,0.5,0.5,1,0,0,0
Orléans Masters 2021,100,Quarter-finals,2021-03-23,France,Joran Kweekel,Netherlands,Christian Kirchmayr,Switzerland,0,0,0.5,0,0,100,0.5,0,0,21,0.0,1500.0,1487.61,12.39,0.5,0.35,0.5,0,-1,0,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Mithun Manjunath,India,Kai Schäfer,Germany,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1490.0,10.0,0.5,0.35,0.5,0,-1,0,0
Orléans Masters 2021,100,Third Round,2021-03-23,France,Christo Popov,France,Abhinav Manota,New Zealand,0,0,0.5,1,0,100,0.5,0,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
Orléans Masters 2021,100,Third Round,2021-03-23,France,Joran Kweekel,Netherlands,Luka Wraber,Austria,1,0,0.5,0,0,100,0.5,0,0,100,0.5,1489.64,1500.0,-10.36,0.35,0.5,0.5,-1,0,0,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Abhinav Manota,New Zealand,Joran Kweekel,Netherlands,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1510.0,1499.94,10.06,0.65,0.545,0.5,1,1,0,0
Orléans Masters 2021,100,First Round,2021-03-23,France,B. R. Sankeerth,Canada,Thomas Rouxel,France,0,0,0.5,0,0,100,0.5,1,2,6,0.5,1500.0,1497.98,2.02,0.5,0.5338,0.5,0,1,0,2
Orléans Masters 2021,100,Second Round,2021-03-23,France,Magnus Johannesen,Denmark,Christo Popov,France,0,0,0.5,0,0,100,0.5,1,0,100,0.5,1490.29,1490.0,0.29,0.35,0.35,0.5,-1,-1,0,0
Orléans Masters 2021,100,First Round,2021-03-23,France,Mithun Manjunath,India,Lucas Claerbout,France,1,0,0.5,0,0,100,0.5,1,0,100,0.5,1489.71,1500.0,-10.29,0.35,0.5,0.5,-1,0,0,0
Orléans Masters 2021,100,Third Round,2021-03-23,France,Kiran George,India,Brice Leverdez,France,0,0,0.5,0,0,100,0.5,1,1,6,0.0,1500.0,1482.37,17.63,0.5,0.35,0.5,0,-1,0,1
Orléans Masters 2021,100,Semi-finals,2021-03-23,France,Toma Junior Popov,France,Kunlavut Vitidsarn,Thailand,1,0,0.5,1,1,6,0.0,0,1,6,0.6667,1469.45,1511.91,-42.46,0.245,0.4312,0.5,-2,-2,1,1
Orléans Masters 2021,100,Second Round,2021-03-23,France,Max Weißkirchen,Germany,Victor Svendsen,Denmark,0,0,0.5,0,0,100,0.5,0,0,21,0.5,1500.0,1500.81,-0.81,0.5,0.545,0.5,0,1,0,0
